형태소,품사,가게이름,날짜,평점,카운트
.,Punctuation,봉자마라탕,2020.08.10.,3,1
.,Punctuation,불이아 본점,2020.01.01,2,4
.,Punctuation,불이아 본점,2020.01.01,3,9
.,Punctuation,빠오즈푸,2020.01.01,4,3
.,Punctuation,산동교자,2016.04.23.,5,2
.,Punctuation,산동교자,2016.07.19.,3,1
.,Punctuation,산동교자,2016.07.31.,5,3
.,Punctuation,산동교자,2017.12.08.,4,1
.,Punctuation,산동교자,2018.01.03.,1,3
.,Punctuation,산동교자,2018.01.27.,3,2
.,Punctuation,산동교자,2019.05.06.,1,5
.,Punctuation,산동교자,2020.02.02.,2,3
.,Punctuation,산동교자,2020.05.18.,3,1
.,Punctuation,산동주방,2016.07.29.,3,1
.,Punctuation,산동주방,2018.11.24.,1,2
.,Punctuation,산동주방,2020.01.01,4,1
.,Punctuation,산동주방,2020.01.01,5,2
.,Punctuation,산왕반점 연남동본점,2020.01.01,2,3
.,Punctuation,산왕반점 연남동본점,2020.01.01,4,1
.,Punctuation,산왕반점 연남동본점,2020.01.01,5,2
.,Punctuation,상하이,2019.08.09.,5,2
.,Punctuation,상하이,2020.01.10.,5,1
.,Punctuation,상하이,2020.01.19.,1,1
.,Punctuation,상하이,2020.02.10.,5,1
.,Punctuation,상하이,2020.05.22.,5,2
.,Punctuation,상하이,2020.10.09.,5,4
.,Punctuation,상하이,2020.11.07.,5,2
.,Punctuation,상하이,2020.11.11.,1,2
.,Punctuation,소리원,2020.01.01,1,2
.,Punctuation,소리원,2020.01.01,3,2
.,Punctuation,소리원,2020.01.01,5,3
.,Punctuation,손오공마라탕,2020.01.01,2,1
.,Punctuation,손오공마라탕,2020.01.01,5,1
.,Punctuation,송쉐프,2020.01.01,1,1
.,Punctuation,송화산시도삭면,2020.01.01,4,6
.,Punctuation,송화산시도삭면,2020.01.01,5,5
.,Punctuation,송화양꼬치,2020.01.01,4,3
.,Punctuation,송화양꼬치,2020.01.01,5,3
.,Punctuation,신룽푸마라탕,2019.01.19.,2,1
.,Punctuation,신룽푸마라탕,2020.05.24.,1,3
.,Punctuation,신룽푸마라탕,2020.05.29.,5,1
.,Punctuation,신룽푸마라탕,2020.06.24.,5,1
.,Punctuation,신룽푸마라탕,2020.07.17.,4,4
.,Punctuation,신룽푸마라탕,2020.08.07.,2,2
.,Punctuation,신승관,2020.08.25.,1,3
.,Punctuation,쌍용각,2020.01.01,1,1
.,Punctuation,쌍용각,2020.01.01,2,1
.,Punctuation,야상해,2020.01.01,4,3
.,Punctuation,야상해,2020.01.01,5,2
.,Punctuation,양식당더램키친,2020.01.01,4,1
.,Punctuation,양식당더램키친,2020.01.01,5,2
.,Punctuation,열빈 광화문점,2019.06.19.,3,2
.,Punctuation,열빈 광화문점,2020.01.01,5,7
.,Punctuation,영빈루 시청점,2020.08.22.,4,3
.,Punctuation,영화장,2020.01.01,1,4
.,Punctuation,오향가 가락본점,2020.01.01,2,2
.,Punctuation,완차이면가,2018.12.23.,5,2
.,Punctuation,완차이면가,2019.06.26.,1,1
.,Punctuation,완차이면가,2019.11.07.,4,1
.,Punctuation,완차이면가,2020.02.20.,5,2
.,Punctuation,완차이면가,2020.04.11.,3,1
.,Punctuation,완차이면가,2020.08.13.,1,3
